"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"AGBL2.79841"	"AGBL2|79841"	"0.992448387148911"	"0.666345573140908"	"0.768330539716703"	"0.551219095023823"	"0.00575787824998387"	"1"
"AGBL3.340351"	"AGBL3|340351"	"0.615424935232936"	"0.805720854070994"	"0.755786336815685"	"0.432827574270345"	"0.00164447523060045"	"0.297650016738681"
"AGBL4.84871"	"AGBL4|84871"	"1"	"1"	"5.07044159613427e-05"	"0.00134935551610185"	"1.38975166754053e-17"	"2.51545051824836e-15"
"AGGF1.55109"	"AGGF1|55109"	"0.173709221981392"	"0.261858956961752"	"0.0570155695398427"	"0.539976838862616"	"0.0570155695398427"	"1"
"AGL.178"	"AGL|178"	"0.985475880047054"	"0.412529694898514"	"0.765810969618372"	"0.861804659807288"	"0.0064476357577412"	"1"
"AGPAT9.84803"	"AGPAT9|84803"	"0.329500184304898"	"0.825630561556297"	"0.810078854331153"	"0.750872530074599"	"0.0240498286896677"	"1"
"AGR2.10551"	"AGR2|10551"	"0.106534415922984"	"0.194095478751468"	"0.260818259633691"	"0.342118886082546"	"0.0859875280783324"	"1"
"AGR3.155465"	"AGR3|155465"	"1"	"1"	"0.42610404729848"	"0.922781030684279"	"2.60127186829917e-11"	"4.7083020816215e-09"
"AGRN.375790"	"AGRN|375790"	"0.482625224352991"	"0.580388999906225"	"0.33021003502043"	"0.453698864363137"	"0.120885760502889"	"1"
"AGXT2L2.85007"	"AGXT2L2|85007"	"0.344082315422878"	"0.280681455523939"	"0.353113719921264"	"0.435350823737088"	"0.0482208002554009"	"1"
"AHCY.191"	"AHCY|191"	"0.970220708484699"	"0.719832295669464"	"0.304904607060929"	"0.552643246598029"	"0.273539774362776"	"1"
"AHDC1.27245"	"AHDC1|27245"	"0.829171196476368"	"0.840649756990573"	"0.610163526644509"	"0.721460537145176"	"0.12087751125507"	"1"
"AHSP.51327"	"AHSP|51327"	"1"	"1"	"0.645742899291123"	"0.850442041234489"	"1.25316882904384e-20"	"2.26823558056935e-18"
"AIDA.64853"	"AIDA|64853"	"0.346725784377015"	"0.348186204256035"	"0.215792753908953"	"0.211146992766289"	"0.0480852481954328"	"1"
"AIG1.51390"	"AIG1|51390"	"0.679905444216725"	"0.909187243712416"	"0.262796735065738"	"0.963101873970749"	"0.115808753987166"	"1"
"AIM1L.55057"	"AIM1L|55057"	"0.0929109840885549"	"0.0588769833513033"	"0.0210082854461149"	"0.0029980980966791"	"0.000826626728313862"	"0.149619437824809"
"AIMP2.7965"	"AIMP2|7965"	"0.342052950352393"	"0.942344396799761"	"0.969132569616104"	"0.628701809634032"	"0.228183465081577"	"1"
"AK1.203"	"AK1|203"	"0.267032712402806"	"0.676581751942988"	"0.505555248093184"	"0.598532378533107"	"0.0503031037762497"	"1"
"AK5.26289"	"AK5|26289"	"0.846230958801053"	"0.507287412310881"	"0.543066232806483"	"0.49514488673121"	"0.147237193361606"	"1"
